date,sessionDefaultChannelGrouping,totalUsers
2023-07-16,Organic Search,969
2023-07-16,Direct,774
2023-07-16,Referral,379
2023-07-16,Unassigned,265
2023-07-16,Paid Search,205
2023-07-16,Paid Social,115
2023-07-16,Organic Shopping,91
2023-07-16,Paid Shopping,7
2023-07-17,Paid Other,8320
2023-07-17,Organic Social,3505
2023-07-17,Display,2708
2023-07-17,Cross-network,1241
2023-07-17,Direct,954
2023-07-17,Organic Search,903
2023-07-17,Referral,416
2023-07-17,Unassigned,254
2023-07-17,Paid Search,172
2023-07-17,Paid Social,111
2023-07-17,Organic Shopping,78
2023-07-17,Paid Shopping,8
2023-07-18,Paid Other,8322
2023-07-18,Organic Social,5002
2023-07-18,Display,1360
2023-07-18,Direct,1138
2023-07-18,Organic Search,907
2023-07-18,Cross-network,871
2023-07-18,Referral,241
2023-07-18,Unassigned,230
2023-07-18,Paid Search,187
2023-07-18,Paid Social,118
2023-07-18,Organic Shopping,75
2023-07-18,Paid Shopping,2
2023-07-19,Paid Other,8585
2023-07-19,Organic Social,4693
2023-07-19,Display,2274
2023-07-19,Cross-network,1576
2023-07-19,Direct,1195
2023-07-19,Organic Search,927
2023-07-19,Referral,296
2023-07-19,Paid Search,195
2023-07-19,Unassigned,194
2023-07-19,Paid Social,94
2023-07-19,Organic Shopping,38
2023-07-19,Paid Shopping,7
2023-07-20,Paid Other,8423
2023-07-20,Organic Social,4659
2023-07-20,Display,1817
2023-07-20,Direct,1046
2023-07-20,Organic Search,884
2023-07-20,Cross-network,751
2023-07-20,Referral,238
2023-07-20,Unassigned,212
2023-07-20,Paid Search,187
2023-07-20,Paid Social,111
2023-07-20,Organic Shopping,33
2023-07-20,Paid Shopping,7
2023-07-21,Paid Other,9409
2023-07-21,Organic Social,4210
2023-07-21,Display,2438
2023-07-21,Cross-network,1141
2023-07-21,Direct,1074
2023-07-21,Organic Search,968
2023-07-21,Organic Shopping,614
2023-07-21,Referral,278
2023-07-21,Paid Social,250
2023-07-21,Unassigned,228
2023-07-21,Paid Search,197
2023-07-21,Paid Shopping,4
2023-07-22,Paid Other,9213
2023-07-22,Organic Social,9108
2023-07-22,Display,1958
2023-07-22,Direct,1661
2023-07-22,Cross-network,1349
2023-07-22,Organic Search,1024
2023-07-22,Unassigned,384
2023-07-22,Organic Shopping,294
2023-07-22,Referral,257
2023-07-22,Paid Search,244
2023-07-22,Paid Social,224
2023-07-22,Paid Shopping,13
2023-07-23,Paid Other,8377
2023-07-23,Organic Social,5358
2023-07-23,Display,3204
2023-07-23,Cross-network,1727
2023-07-23,Direct,1188
2023-07-23,Organic Search,1052
2023-07-23,Unassigned,340
2023-07-23,Referral,337
2023-07-23,Paid Social,318
2023-07-23,Paid Search,236
2023-07-23,Organic Shopping,85
2023-07-23,Paid Shopping,6
2023-07-23,Organic Video,1
2023-07-24,Paid Other,9772
2023-07-24,Organic Social,4844
2023-07-24,Display,2188
2023-07-24,Direct,1065
2023-07-24,Organic Search,1053
2023-07-24,Cross-network,1003
2023-07-24,Paid Social,527
2023-07-24,Unassigned,285
2023-07-24,Referral,256
2023-07-24,Paid Search,237
2023-07-24,Organic Shopping,61
2023-07-24,Paid Shopping,7
2023-07-25,Paid Other,7955
2023-07-25,Organic Social,3143
2023-07-25,Display,1784
2023-07-25,Direct,1091
2023-07-25,Organic Search,1053
2023-07-25,Cross-network,763
2023-07-25,Paid Social,394
2023-07-25,Referral,225
2023-07-25,Unassigned,223
2023-07-25,Paid Search,208
2023-07-25,Organic Shopping,37
2023-07-25,Paid Shopping,5
2023-07-25,Organic Video,1
2023-07-26,Paid Other,9305
2023-07-26,Organic Social,4583
2023-07-26,Display,1555
2023-07-26,Direct,1050
2023-07-26,Organic Search,968
2023-07-26,Cross-network,737
2023-07-26,Paid Social,534
2023-07-26,Paid Search,259
2023-07-26,Unassigned,233
2023-07-26,Referral,230
2023-07-26,Organic Shopping,35
2023-07-26,Paid Shopping,7
2023-07-27,Paid Other,9436
2023-07-27,Organic Social,4579
2023-07-27,Display,1940
2023-07-27,Direct,1300
2023-07-27,Organic Search,923
2023-07-27,Cross-network,859
2023-07-27,Paid Social,723
2023-07-27,Paid Search,273
2023-07-27,Unassigned,244
2023-07-27,Referral,242
2023-07-27,Organic Shopping,31
2023-07-27,Paid Shopping,7
2023-07-28,Paid Other,9154
2023-07-28,Organic Social,5184
2023-07-28,Display,1433
2023-07-28,Direct,1229
2023-07-28,Cross-network,1111
2023-07-28,Organic Search,949
2023-07-28,Paid Social,577
2023-07-28,Organic Shopping,538
2023-07-28,Unassigned,287
2023-07-28,Paid Search,279
2023-07-28,Referral,237
2023-07-28,Paid Shopping,10
2023-07-29,Paid Other,9006
2023-07-29,Organic Social,5255
2023-07-29,Direct,1768
2023-07-29,Display,1676
2023-07-29,Cross-network,1067
2023-07-29,Organic Search,1006
2023-07-29,Paid Social,610
2023-07-29,Unassigned,290
2023-07-29,Paid Search,267
2023-07-29,Referral,262
2023-07-29,Organic Shopping,246
2023-07-29,Paid Shopping,3
2023-07-30,Paid Other,9023
2023-07-30,Organic Social,5574
2023-07-30,Display,3509
2023-07-30,Direct,1183
2023-07-30,Organic Search,1099
2023-07-30,Cross-network,922
2023-07-30,Paid Social,633
2023-07-30,Referral,440
2023-07-30,Paid Search,279
2023-07-30,Unassigned,262
2023-07-30,Organic Shopping,83
2023-07-30,Paid Shopping,7
2023-07-31,Paid Other,10254
2023-07-31,Organic Social,4577
2023-07-31,Display,2619
2023-07-31,Cross-network,1392
2023-07-31,Direct,1090
2023-07-31,Organic Search,1010
2023-07-31,Paid Social,605
2023-07-31,Referral,407
2023-07-31,Paid Search,269
2023-07-31,Unassigned,246
2023-07-31,Organic Shopping,54
2023-07-31,Paid Shopping,5
